"CHILDID","C7DESMTH","C7R4MSCL","S7_ID","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"0009005C",1,133.83,"C008",121.18,"less than",0,"WHITE",-0.52,"BELOW POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009007C",0,100.7,"C008",89.53,"less than",0,"WHITE",-0.53,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009008C",0,128.88,"C008",119.83,"less than",0,"WHITE",-0.45,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009010C",1,143.72,"C008",128.54,"less than",1,"WHITE",-0.46,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009011C",0,82.57,"C008",119.98,"less than",0,"WHITE",0.46,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009013C",1,157.87,"C008",128.22,"less than",0,"WHITE",0.15,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009014C",0,119.6,"C008",116.19,"4y college",0,"WHITE",-0.27,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009017C",0,161.87,"C008",119.83,"less than",0,"WHITE",-0.37,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009018C",0,84.14,"C008",88.64,"less than",1,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009024C",0,130.71,"C008",132.63,"less than",1,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0009026C",0,96.5,"C008",72.66,"4y college",0,"WHITE",0.82,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0010021C",0,126.73,"C001",159.46,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"0020001C",1,139.62,"0020",115.21,"4y college",0,"WHITE",-0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020002C",1,147.35,"0020",128.53,"less than",1,"WHITE",0.11,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020003C",0,150.54,"0020",142.51,"4y college",0,"WHITE",-0.08,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020004C",0,130.89,"0020",86.3,"more than",0,"WHITE",-0.45,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020007C",1,157.69,"0020",139.96,"4y college",0,"ASIAN",0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020008C",1,145.61,"0020",118.38,"less than",1,"HISPANIC",-0.5,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020013C",1,121.5,"0020",118.87,"less than",0,"WHITE",-0.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020014C",1,158.22,"0020",145.64,"4y college",1,"WHITE",0.73,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020016C",1,129.23,"0020",92.44,"less than",0,"WHITE",-0.37,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020017C",1,143.14,"0020",134.89,"more than",1,"WHITE",0.4,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020019C",1,152.31,"0020",135.75,"less than",1,"WHITE",-0.51,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020020C",1,161.71,"0020",125.99,"less than",0,"WHITE",-0.52,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0020024C",0,148.58,"0020",67.59,"less than",1,"WHITE",-0.44,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022002C",0,122.89,"A054",101.03,"4y college",1,"WHITE",0.48,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022003C",1,139.51,"A054",101.13,"less than",0,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022006C",0,133.56,"A054",145.1,"4y college",1,"WHITE",-0.03,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022007C",0,106.45,"A054",80.75,"less than",1,"WHITE",-0.66,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022008C",0,139.42,"A054",140.28,"less than",0,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022009C",0,145.17,"C005",132.93,"4y college",1,"WHITE",-0.36,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022012C",0,93.55,"A054",80.1,"less than",1,"WHITE",-0.28,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022013C",1,156.1,"A054",138.36,"4y college",0,"WHITE",0.36,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022014C",1,156.96,"A054",132.28,"4y college",1,"WHITE",-0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022016C",1,127.93,"A054",105.31,"4y college",0,"WHITE",0.3,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022017C",0,135.78,"C005",118.88,"4y college",0,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022018C",0,160.39,"A054",140.4,"4y college",1,"WHITE",0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022019C",1,152.24,"A054",128.72,"4y college",0,"WHITE",1.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022020C",0,96.87,"A054",63.93,"less than",1,"WHITE",-0.66,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022023C",1,146.96,"A054",140.98,"more than",0,"WHITE",0.28,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0022024C",0,157.7,"A054",141.55,"less than",1,"WHITE",1.86,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0023005C",0,141.84,"C005",129,"4y college",0,"WHITE",0.5,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0023024C",0,88.81,"C005",55.42,"4y college",0,"WHITE",-0.67,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0024004C",1,165.8,"C007",146.05,"4y college",1,"WHITE",0.99,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025001C",1,169.19,"C007",155.97,"more than",1,"HISPANIC",2,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025003C",1,156.65,"C007",119.21,"less than",0,"WHITE",-0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025005C",1,152.16,"C007",142.44,"4y college",0,"WHITE",1.17,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025014C",0,120.89,"C007",100.38,"4y college",0,"WHITE",0.01,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025016C",1,146.08,"C007",139.36,"more than",0,"WHITE",-1.05,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025018C",0,143.3,"C005",116.41,"4y college",0,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025020C",0,120.72,"C007",72.33,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0025021C",0,141.18,"C007",131.29,"less than",1,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028002C",1,163.42,"C005",150.79,"more than",0,"WHITE",2.45,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028003C",1,153,"C007",141.53,"4y college",1,"WHITE",0.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028005C",1,167.13,"C005",157.44,"less than",1,"WHITE",-0.57,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028006C",1,144.9,"C007",125.99,"4y college",0,"WHITE",1.39,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028007C",1,165.44,"C005",144.74,"4y college",1,"WHITE",1.27,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028008C",0,126.61,"C005",98.19,"less than",0,"WHITE",-0.34,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028009C",0,161.59,"C005",151.42,"4y college",0,"WHITE",0.52,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028010C",1,169.08,"C005",155.83,"4y college",0,"WHITE",0.86,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028011C",0,145.31,"C005",103.38,"less than",1,"WHITE",-0.39,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028012C",1,163.48,"C005",144.31,"more than",0,"WHITE",1.53,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028013C",0,165.41,"C005",143.61,"4y college",0,"WHITE",1.3,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0028014C",0,161.06,"C005",151.23,"less than",0,"WHITE",-0.38,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0051002C",0,147.13,"0051",120.53,"4y college",0,"WHITE",1.16,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051005C",1,159.77,"0051",145.31,"less than",0,"WHITE",-0.32,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051006C",1,156.66,"0051",125.36,"4y college",0,"WHITE",0.59,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051007C",1,161.91,"0051",159.92,"4y college",1,"WHITE",0.08,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051008C",1,160.81,"0051",139.42,"4y college",0,"WHITE",0.3,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051011C",0,159.71,"0051",120.14,"less than",0,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051013C",1,159.76,"0051",130.97,"4y college",0,"WHITE",-0.08,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051018C",0,156.73,"0051",135.5,"4y college",0,"WHITE",0.13,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051019C",0,161.78,"0051",139.96,"4y college",1,"WHITE",1.07,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0051024C",0,141.62,"0051",134.93,"less than",1,"WHITE",0.52,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0052003C",0,150.33,"0051",131.08,"more than",0,"WHITE",0.35,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PRIVATE","NORTHEAST","LARGE AND MID-SIZE CITY"
"0053001C",0,125.96,"C026",127.48,"4y college",1,"HISPANIC",1.16,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053002C",1,165.21,"C026",157.62,"more than",1,"WHITE",1.43,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053005C",1,134.4,"C026",147.2,"more than",1,"WHITE",1.31,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053007C",1,159.99,"C026",150.73,"4y college",1,"WHITE",1.18,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053008C",1,167.51,"C026",154.8,"4y college",0,"WHITE",0.1,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053009C",1,160.25,"C026",145.29,"more than",0,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053011C",1,152.46,"C026",151.57,"4y college",0,"WHITE",1.5,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053012C",1,154.99,"C026",137.97,"4y college",1,"WHITE",-0.78,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053013C",1,157.88,"C026",155.37,"more than",1,"WHITE",1.61,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053014C",0,164.94,"C026",139.12,"4y college",1,"WHITE",0.81,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053017C",1,136.08,"C026",115.59,"4y college",0,"WHITE",1.26,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053018C",1,161.04,"C026",152.7,"more than",0,"WHITE",1.09,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053019C",1,162.83,"C026",152.8,"more than",1,"WHITE",2.36,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053021C",1,157.09,"C026",143.87,"4y college",0,"WHITE",1.34,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053023C",1,133.26,"C026",131.28,"more than",0,"WHITE",0.85,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0053024C",0,113.56,"C026",114.41,"4y college",0,"WHITE",1.4,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","SMALL TOWN AND RURAL"
"0056002C",1,157.73,"C035",140.19,"more than",1,"WHITE",0.77,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056003C",1,152.91,"C035",119.91,"4y college",0,"WHITE",0.82,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056004C",1,167.3,"C035",140.29,"4y college",0,"WHITE",1.19,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056005C",1,158.92,"C035",139.31,"4y college",1,"WHITE",0.17,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056007C",1,170.32,"C035",157.68,"more than",0,"BLACK",1.68,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056008C",0,101.22,"C035",66.76,"less than",1,"WHITE",-0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056009C",1,169.53,"C035",138.65,"4y college",1,"WHITE",0.24,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056011C",1,159.48,"C035",139.4,"4y college",1,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056013C",0,150.76,"C035",125.11,"less than",1,"WHITE",-0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056014C",1,167.09,"C035",141.98,"4y college",1,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056015C",0,154.79,"C035",143.56,"4y college",1,"WHITE",0.35,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0056019C",1,166.91,"C035",143.28,"more than",1,"WHITE",1.29,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
